"tli_monthly","bottom_DRP_ugL","bottom_NH4_ugL","bottom_NO3_ugL","thermo_depth","schmidt_stability","temp_C_1","temp_C_8","DO_mgL_8","air_temp_min","windspeed_min","air_temp_mean","windspeed_mean","air_temp_max","windspeed_max","rain_sum","monthly_avg_level_m","soi_3mth_mean"
1,0.488845704503299,0.374410426419565,0.190028808592459,0.019113487524738,0.113457355742961,0.276126271713716,0.302031955344982,-0.246345151396807,0.290569627758219,-0.081342064827795,0.299717245956145,-0.148409936454609,0.319729276209991,-0.1096111207975,0.0467318452790598,-0.116168584078132,-0.157809717406193
0.488845704503299,1,0.540287637832392,0.0757824248826541,0.296387226307319,0.368545017685797,0.444673845959016,0.408242454248235,-0.354296729726871,0.394123504100125,-0.115704506869458,0.424452459642922,-0.262694389177619,0.404588599173374,-0.169612637571422,-0.0547780791345254,-0.219967246242818,-0.0851512253199242
0.374410426419565,0.540287637832392,1,0.346136351361999,0.283466027219373,0.343856852186818,0.425478126916669,0.395591727793011,-0.425277709794539,0.384148050862234,-0.106503025381979,0.414871879762797,-0.225664661313789,0.39158704395022,-0.102804519865124,-0.0445824454126666,-0.0155857809180916,0.00689520206710729
0.190028808592459,0.0757824248826541,0.346136351361999,1,-0.0827536819491098,-0.117889433435556,-0.112470254132252,-0.0928223326736526,0.0800708545467412,-0.113807819623895,0.0375578063018421,-0.130979844612099,-0.00249713710659384,-0.157953701308598,0.0130294610176564,0.0436441800037241,0.0298194103829931,-0.142067205559556
0.019113487524738,0.296387226307319,0.283466027219373,-0.0827536819491098,1,0.780681884058492,0.553241891218534,0.428979588761592,-0.447535005649958,0.511800507724614,-0.0733859590554445,0.509428281453338,-0.244394890588035,0.46040130592105,-0.158460763406032,-0.113595787080838,-0.0306076461722017,0.0231878981633836
0.113457355742961,0.368545017685797,0.343856852186818,-0.117889433435556,0.780681884058492,1,0.770218421176831,0.642046809777377,-0.59678431966705,0.691845618311915,-0.143460371940092,0.702811146639568,-0.309011191123826,0.662145007344891,-0.230843144470224,-0.173007714005671,-0.0338114370796017,-0.0110748424254077
0.276126271713716,0.444673845959016,0.425478126916669,-0.112470254132252,0.553241891218534,0.770218421176831,1,0.970979395521516,-0.790917701567634,0.935828810929027,-0.171472939189204,0.968823648180853,-0.328325894900159,0.940940885112274,-0.220611383395193,-0.201038943431173,-0.0980156958161061,-0.0133160304361694
0.302031955344982,0.408242454248235,0.395591727793011,-0.0928223326736526,0.428979588761592,0.642046809777377,0.970979395521516,1,-0.76729023221683,0.928889530793662,-0.1744952763081,0.957972190210021,-0.314486325008027,0.93587780341026,-0.210636948106691,-0.200574896635275,-0.111743889400113,-0.0283328415120298
-0.246345151396807,-0.354296729726871,-0.425277709794539,0.0800708545467412,-0.447535005649958,-0.59678431966705,-0.790917701567634,-0.76729023221683,1,-0.735005655829149,0.206167627219394,-0.776782202005555,0.286077152485897,-0.76289583549852,0.171633549209631,0.143817283844562,0.0451088116068647,-0.0808768254203428
0.290569627758219,0.394123504100125,0.384148050862234,-0.113807819623895,0.511800507724614,0.691845618311915,0.935828810929027,0.928889530793662,-0.735005655829149,1,-0.195277050544048,0.964867412197438,-0.329915618214422,0.915403275193179,-0.226081832443081,-0.18098268492199,-0.109295010666473,0.000938453737307041
-0.081342064827795,-0.115704506869458,-0.106503025381979,0.0375578063018421,-0.0733859590554445,-0.143460371940092,-0.171472939189204,-0.1744952763081,0.206167627219394,-0.195277050544048,1,-0.174612502887962,0.450111992860753,-0.173605825487938,0.256473513841474,0.00360340628797005,0.0842364521967673,-0.0881672638144489
0.299717245956145,0.424452459642922,0.414871879762797,-0.130979844612099,0.509428281453338,0.702811146639568,0.968823648180853,0.957972190210021,-0.776782202005555,0.964867412197438,-0.174612502887962,1,-0.324013405133919,0.966143897279001,-0.228019006250696,-0.17110182881995,-0.107555998130845,-0.00389393681674586
-0.148409936454609,-0.262694389177619,-0.225664661313789,-0.00249713710659384,-0.244394890588035,-0.309011191123826,-0.328325894900159,-0.314486325008027,0.286077152485897,-0.329915618214422,0.450111992860753,-0.324013405133919,1,-0.310977386261892,0.597236081041158,0.163504588657784,0.0165818359573831,-0.0238497394829314
0.319729276209991,0.404588599173374,0.39158704395022,-0.157953701308598,0.46040130592105,0.662145007344891,0.940940885112274,0.93587780341026,-0.76289583549852,0.915403275193179,-0.173605825487938,0.966143897279001,-0.310977386261892,1,-0.215484965703816,-0.169515631727479,-0.123527252503033,0.0100193937307558
-0.1096111207975,-0.169612637571422,-0.102804519865124,0.0130294610176564,-0.158460763406032,-0.230843144470224,-0.220611383395193,-0.210636948106691,0.171633549209631,-0.226081832443081,0.256473513841474,-0.228019006250696,0.597236081041158,-0.215484965703816,1,0.184565005399555,0.00694221966471748,0.0997756123147258
0.0467318452790598,-0.0547780791345254,-0.0445824454126666,0.0436441800037241,-0.113595787080838,-0.173007714005671,-0.201038943431173,-0.200574896635275,0.143817283844562,-0.18098268492199,0.00360340628797005,-0.17110182881995,0.163504588657784,-0.169515631727479,0.184565005399555,1,-0.00226887854550533,0.145778437664674
-0.116168584078132,-0.219967246242818,-0.0155857809180916,0.0298194103829931,-0.0306076461722017,-0.0338114370796017,-0.0980156958161061,-0.111743889400113,0.0451088116068647,-0.109295010666473,0.0842364521967673,-0.107555998130845,0.0165818359573831,-0.123527252503033,0.00694221966471748,-0.00226887854550533,1,0.241430204467407
-0.157809717406193,-0.0851512253199242,0.00689520206710729,-0.142067205559556,0.0231878981633836,-0.0110748424254077,-0.0133160304361694,-0.0283328415120298,-0.0808768254203428,0.000938453737307041,-0.0881672638144489,-0.00389393681674586,-0.0238497394829314,0.0100193937307558,0.0997756123147258,0.145778437664674,0.241430204467407,1
